#CODE	ENGLISH
haughty	Haughty
#haughty_desc	This child is proud and vain, convinced of their own superiority.
affectionate	Affectionate
#affectionate_desc	This child is kind and is quick to show love and affection.
timid	Timid
#timid_desc	This child is shy and quiet and usually avoids open conflicts.
rowdy	Rowdy
#rowdy_desc	This child is loud and lively and usually prefers rough physical activity over calmer pursuits.
willful	Willful
#willful_desc	This child is stubborn and strong-willed, and doesn't obey or give way easily.
brooding	Brooding
#brooding_desc	This child is a quiet thinker, often sitting inside in deep ponderings as others play outside in the sun.
indolent	Indolent
#indolent_desc	This child is very averse to any kind of exertion, be it mental or physical.
playful	Playful
#playful_desc	This child loves to engage in fun and games, almost always turning any activity into an excuse to play.
conscientious	Conscientious
#conscientious_desc	This child is unusually scrupulous and responsible, taking delight in completing any chores and tasks to perfection.
fussy	Fussy
#fussy_desc	This child is very particular about details which seem trivial to others, sometimes to the point of causing anxiety and frustration.
curious	Curious
#curious_desc	This child has an inquisitive nature and is constantly asking questions and poking around looking for new and interesting things.
idolizer	Idolizer
#idolizer_desc	This child is easily impressed and also has a fervent desire to seek for ultimate truths.
no_objective_title	No Focus Chosen
focus_ch_pride	Pride
focus_ch_pride_title	Pride
focus_ch_pride_desc	[This.GetTitledFirstName] is tutored by councillors and noblemen, being groomed for rulership. Common trait outcomes for this Focus are §YHaughty§! and §YBrooding§!.
focus_ch_humility	Humility
focus_ch_humility_title	Humility
focus_ch_humility_desc	[This.GetTitledFirstName] is tutored by servants at court, focusing on service and humility. Common trait outcomes for this Focus are §YTimid§! and §YAffectionate§!.
focus_ch_duty	Duty
focus_ch_duty_title	Duty
focus_ch_duty_desc	[This.GetTitledFirstName] is tutored by guards and retainers at court, focusing on duty and diligence. A common trait outcome for this Focus is §YConscientious§!.
focus_ch_etiquette	Etiquette
focus_ch_etiquette_title	Etiquette
focus_ch_etiquette_desc	[This.GetTitledFirstName] is tutored by councillors and other courtiers, focusing on courteous behavior and etiquette. Common trait outcomes for this Focus are §YPlayful§! and §YIndolent§!.
focus_ch_thrift	Thrift
focus_ch_thrift_title	Thrift
focus_ch_thrift_desc	[This.GetTitledFirstName] is tutored by artisans and merchants, focusing on mathematics and invention. Common trait outcomes for this Focus are §YCurious§! and §YFussy§!.
focus_ch_faith	Faith
focus_ch_faith_title	Faith
focus_ch_faith_desc	[This.GetTitledFirstName] is tutored by priests, focusing on the §Y[This.Educator.Religion.GetName]§! faith and religious learning. A common trait outcome for this Focus is §YIdolizer§!.
focus_ch_struggle	Struggle
focus_ch_struggle_title	Struggle
focus_ch_struggle_desc	[This.GetTitledFirstName] is very loosely tutored, chiefly being left to [This.GetHerHis] own devices and competing with other children. Common trait outcomes for this Focus are §YRowdy§! and §YWillful§!.
focus_ch_heritage	Heritage
focus_ch_heritage_title	Heritage
focus_ch_heritage_desc	[This.GetTitledFirstName] is tutored by various courtiers and family members, focusing on assimilating §Y[This.Educator.Culture.GetName]§! culture and the §Y[This.Educator.Religion.GetName]§! faith. No specific traits are associated with this Focus.
focus_ed_diplomacy	Diplomacy
focus_ed_diplomacy_title	Diplomatic Education
focus_ed_diplomacy_desc	[This.GetTitledFirstName] focuses [This.GetHerHis] studies on the ways of diplomacy and statesmanship.\n§GAffectionate§! and §GCurious§! children will do better with this education, while §RWillful§! and §RFussy§! children will be hampered.
focus_ed_martial	Martial
focus_ed_martial_title	Martial Education
focus_ed_martial_desc	[This.GetTitledFirstName] focuses [This.GetHerHis] studies on the ways of military strategy and war.\n§GRowdy§! and §GWillful§! children will do better with this education, while §RTimid§! children and §RIdolizers§! will be hampered.
focus_ed_stewardship	Stewardship
focus_ed_stewardship_desc	[This.GetTitledFirstName] focuses [This.GetHerHis] studies on bookkeeping and administration.\n§GBrooding§! and §GConscientious§! children will do better with this education, while §RIndolent§! and §RHaughty§! children will be hampered.
focus_ed_stewardship_title	Stewardship Education
focus_ed_intrigue	Intrigue
focus_ed_intrigue_title	Intrigue Education
focus_ed_intrigue_desc	[This.GetTitledFirstName] focuses [This.GetHerHis] studies on the ways of intrigue and acting in the shadows.\n§GPlayful§! and §GFussy§! children will do better with this education, while §RRowdy§! and §RAffectionate§! children will be hampered.
focus_ed_learning	Learning
focus_ed_learning_title	Learning Education
focus_ed_learning_desc	[This.GetTitledFirstName] focuses [This.GetHerHis] studies on learning, philosophy and religion.\n§GTimid§! children and §GIdolizers§! will do better with this education, while §RBrooding§! and §RPlayful§! children will be hampered.
INSULT_USELESS	useless
INSULT_SNEAK	sneak
silence_is_golden	Silence is Golden
silence_is_golden_desc	This character wisely chose to keep quiet.
EVTDESCA_ZE_12000	I've come across [haughty_events_char_1.GetTitledFirstNameWithNick] kissing one of the servant folk in a hallway.
EVTOPTA_ZE_12000	It's inappropriate, and I will tell [haughty_events_char_1.GetHerHim]!
EVTOPTB_ZE_12000	It's our secret, right?
EVTDESCB_ZE_12000	Walking across the yard, I see [haughty_events_char_1.GetTitledFirstName] angrily beating a dog with a heavy stick.
EVTDESCC_ZE_12000	Walking outside, I come upon some commoners along the road. One of them calls out, saying I look lovely today.
EVTOPTE_ZE_12000	I'll see him punished for addressing me like that!
EVTOPTF_ZE_12000	I'll nod and accept the compliment graciously.
EVTOPTE_ZE_12000_TOOLTIP1	Peasants get angry.
EVTOPTE_ZE_12000_TOOLTIP2	Peasants are subdued.
EVTOPTC_ZE_12000	I'll pick up a stick and beat him instead!
EVTOPTD_ZE_12000	I think I'll join in!
EVTDESCA_ZE_12002	As I'm spending a pleasant moment alone with the attractive cook, the wretched child [From.GetFirstName] comes upon us and promptly starts chiding me about morals!
EVTDESCB_ZE_12002	As I'm spending a pleasant moment alone with the attractive cook, young [From.GetFirstName] comes upon us. However, [From.GetSheHe] only winks in complicity and sneaks away.
EVTOPTA_ZE_12002	I'll catch the brat and give [From.GetHerHim] a good hiding!
EVTOPTB_ZE_12002	It doesn't matter.
#EVTOPTC_ZE_12002	I should bring [FRom.GetHerHim] soime candy later.
EVTDESCA_ZE_12004	[From.GetTitledFirstName] didn't take kindly to my chiding. [From.GetSheHeCap] caught me and gave me a good beating.
EVTOPTA_ZE_12004	The [GetRootFromInsult]! I will tell everyone!
EVTOPTB_ZE_12004	I'll hide so [From.GetSheHe] doesn't find me again.
EVTDESCA_ZE_12006	[From.GetFirstName], the [GetRootFromInsult], went around and told everyone lies about me, as childish revenge for the deserved beating I gave [From.GetHerHim].
EVTDESCB_ZE_12006	As I turned, the dog bit me in the ankle and [From.GetFirstName] managed to get away, but has since been skulking around eyeing me with hatred.
EVTDESCC_ZE_12002	As I'm beating a rabid dog in the yard, the little cur [From.GetFirstName] runs up and starts hitting me with a stick.
EVTDESCD_ZE_12002	As I'm beating a rabid dog in the yard, little [From.GetFirstName] runs up and joins in the beating.
EVTOPTD_ZE_12002	I'll show the [GetRootFromInsult]!
EVTOPTE_ZE_12002	How weak, how adorable.
EVTOPTF_ZE_12002	There's room for everyone.
EVTDESCB_ZE_12004	As I hit [From.GetHerHim], [From.GetTitledFirstName] turned [From.GetHerHis] anger on me but I managed to escape as the dog bit [From.GetHerHim] in the ankle.
EVTOPTC_ZE_12004	[From.GetSheHeCap] will find I am a fierce enemy!
EVTOPTD_ZE_12004	Now, where are my toys...?
opinion_complicity	Complicity
opinion_contempt	Contempt
EVTDESCC_ZE_12004	My treatment of that uppity peasant had the unfortunate effect of making more of them angry.
EVTDESCD_ZE_12004	My treatment of that uppity peasant really put him and the others in their place.
EVTOPTE_ZE_12004	We'll deal with them as they deserve.
EVTOPTF_ZE_12004	I know how to handle these things.
EVTDESCA_ZE_13001	I am practically an adult now, and people had better listen to me if they know what's good for them.
EVTDESCB_ZE_13001	Rules are for the weak. I know what I want.
EVTDESCC_ZE_13001	I know my worth, and people had better not stand in my way.
EVTOPTA_ZE_13001	I shall bow to no one.
EVTOPTB_ZE_13001	And I know where to get it.
EVTOPTC_ZE_13001	If they protest I will crush them.
EVTDESCA_ZE_13002	Young [From.GetFirstName] is showing strong tendencies towards prideful behavior.
EVTDESCB_ZE_13002	Young [From.GetFirstName] is developing an arbitrary streak. It's showing more clearly every day.
