#CODE	ENGLISH	ENGLISH
#MODIFIER_COMBAT_RATING	Combat Rating	Combat Rating
CR_DIFF_LOWER_THAN	Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!	Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!
CR_DIFF_AT_LEAST	Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! at least §Y$VAL$§!	Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! at least §Y$VAL$§!
HAS_CR_AT_LEAST	Combat Rating at least 	Combat Rating at least 
HAS_LOWER_CR_THAN	Combat Rating lower than 	Combat Rating lower than 
MASTER	master	master
MISTRESS	mistress	mistress
wol_schemer_1	Amateur Schemer	Amateur Schemer
desc_wol_schemer_1	This character is an aspiring schemer who seeks to manipulate others through deceit and subterfuge.	This character is an aspiring schemer who seeks to manipulate others through deceit and subterfuge.
wol_schemer_2	Schemer	Schemer
desc_wol_schemer_2	This character is an experienced schemer, plotter and shadowy puppetmaster.	This character is an experienced schemer, plotter and shadowy puppetmaster.
wol_patriarch_1	Family Man	Family Man
desc_wol_patriarch_1	This man is devoted to the harmony and well-being of his family.	This man is devoted to the harmony and well-being of his family.
wol_patriarch_2	Family Patriarch	Family Patriarch
desc_wol_patriarch_2	This man is the undisputed head of the family, resolving conflicts and leading with a firm but gentle hand.	This man is the undisputed head of the family, resolving conflicts and leading with a firm but gentle hand.
wol_matriarch_1	Family Woman	Family Woman
desc_wol_matriarch_1	This woman is devoted to the harmony and well-being of her family.	This woman is devoted to the harmony and well-being of her family.
wol_matriarch_2	Family Matriarch	Family Matriarch
desc_wol_matriarch_2	This woman is the undisputed head of the family, resolving conflicts and leading with a firm but gentle hand.	This woman is the undisputed head of the family, resolving conflicts and leading with a firm but gentle hand.
schemer	Master Schemer	Master Schemer
break_up_with_lover	Break Up	Break up
break_up_with_lover_desc	Your love affair with §Y[Root.GetTitledFirstNameNoRegnal]§! is ended.	Your love affair with [Root.GetTitledFirstNameNoRegnal] is ended.
opinion_whorespawn	Whorespawn	Whorespawn
opinion_seduced_once	Seduced	Seduced
opinion_seduced_lustful_worship	Lustful Worship	Lustful Worship
opinion_seducing_concubine	Seducing	Seducing
opinion_regicide_traitor	Murderous Traitor	Murderous Traitor
seduced_loyal_bodyguard	Bodyguard Lover	Bodyguard Lover
desc_seduced_loyal_bodyguard	Through seduction, this character has secured the most loyal bodyguard imaginable.	Through seduction, this character has secured the most loyal bodyguard imaginable.
seduced_loyal_spy_maid	Maidservant Lover	Maidservant Lover
desc_seduced_loyal_spy_maid	This character has seduced a maid with a quick mind and an ample bosom, using her to spy and snoop around at court.	This character has seduced a maid with a quick mind and an ample bosom, using her to spy and snoop around at court.
minor_disease_herpes	Lover's Pox	Lover's Pox
desc_minor_disease_herpes	This character periodically suffers from embarrassing and unsightly blisters.	This character periodically suffers from embarrassing and unsightly blisters.
DAMNATION	Damnation	Damnation
EVTDESC6031_ALL	As the [Root.Religion.GetPriestTitle] slowly pulled me out of the holy spring, the water started boiling and frothing, paint running off the arcane runes smeared on my naked body. Filled with wonder, I realized that the gibbering voices in my head had finally fallen silent!	As the [Root.Religion.GetPriestTitle] slowly pulled me out of the holy spring, the water started boiling and frothing, paint running off the arcane runes smeared on my naked body. Filled with wonder, I realized that the gibbering voices in my head had finally fallen silent!
