#CODE	ENGLISH	ENGLISH
HOLDINGS_DEC_LOSS	Holdings: 	Holdings: 
TOTAL_DEC_DELTA	Total Decadence Contribution: 	Total Decadence Contribution: 
HAS_A_JOB_DEC	Has a Job: 	Has a Job: 
ON_JOB_DEC	Is on Job Action: 	Is on Job Action: 
CHAR_STATUS_PILGRIM	§Y$NAME$§! is on a Pilgrimage	§Y$NAME$§! is on a Pilgrimage
EVTDESC1070	As I listened to the Hafiz correctly continue the recitation of a passage taken randomly from the Qur'an, I marveled at the piety of the man. To submit the whole Qur'an to memory, all 114 Surahs, is a feat only the most zealous Muslim could perform.	As I listened to the Hafiz correctly continue the recitation of a passage taken randomly from the Qur'an, I marveled at the piety of the man. To submit the whole Qur'an to memory, all 114 Surahs, is a feat only the most zealous Muslim could perform.
EVTOPTA1070	May Allah hear my words, I will memorize the whole Qur'an!	May Allah hear my words, I will memorize the whole Qur'an!
EVTOPTB1070	Marvelous! But it must be such a chore...	Marvelous! But it must be such a chore...
aspiring_hafiz	Aspiring Hafiz: committing the Qur'an to memory	Aspiring Hafiz: committing the Qur'an to memory
EVTDESC1071	I feel nervous as I stand before the imam, waiting for him to choose and start reciting a random passage from the Qur'an which I must then continue reciting correctly. He has chosen:\n\nWhen the Qur'an is read...	I feel nervous as I stand before the imam, waiting for him to choose and start reciting a random passage from the Qur'an which I must then continue reciting correctly. He has chosen:\n\nWhen the Qur'an is read...
EVTOPTA1071	...listen to it with attention and hold your peace that ye may receive Mercy	...listen to it with attention and hold your peace that ye may receive Mercy
aspiring_faqih	A Student of Fiqh, Islamic Law	A student of Fiqh, Islamic law
EVTDESC5080	A faqih is an expert in 'fiqh' which is knowledge of legislative rulings, pertaining to the actions of man, as derived from their detailed evidences. I have been asked if I would like to study with some of the best fuqaha of [Root.Location.GetName] so that I may one day become one of the greatest jurists of the Islamic world.	A faqih is an expert in 'fiqh' which is knowledge of legislative rulings, pertaining to the actions of man, as derived from their detailed evidences. I have been asked if I would like to study with some of the best fuqaha of [Root.Location.GetName] so that I may one day become one of the greatest jurists of the Islamic world.
EVTOPTA5080	This is an opportunity I don't dare say 'no' to	This is an opportunity I don't dare say 'no' to
EVTOPTB5080	It sounds like an awful lot of work... No, thank you	It sounds like an awful lot of work... No, thank you
EVTDESC5081	A year of studying fiqh has left my poor head weary. The other faqihs are merciless in their demands, I am to study the Qur'an, the Sunnah, Ijma' (Consensus) and Qiyas (Analogy) to prepare myself for the last exam, then I may call myself a faqih.	A year of studying fiqh has left my poor head weary. The other faqihs are merciless in their demands, I am to study the Qur'an, the Sunnah, Ijma' (Consensus) and Qiyas (Analogy) to prepare myself for the last exam, then I may call myself a faqih.
EVTOPTA5081	I cannot quit now, so close to becoming a faqih...	I cannot quit now, so close to becoming a faqih...
EVTOPTB5081	I give up, this is not the life I want...	I give up, this is not the life I want...
EVTDESC5082	I have finally become an expert in Islamic jurisprudence! My knowledge of the Qur'an, the Sunnah, Ijma' (Consensus) and Qiyas (Analogy) is what makes me a faqih and I will use that knowledge to be a better [Root.GetTitle] and ruler of my people.	I have finally become an expert in Islamic jurisprudence! My knowledge of the Qur'an, the Sunnah, Ijma' (Consensus) and Qiyas (Analogy) is what makes me a faqih and I will use that knowledge to be a better [Root.GetTitle] and ruler of my people.
EVTOPTA5082	I am proud to have become a faqih!	I am proud to have become a faqih!
EVTOPTB5082	I will use the knowledge but not the title	I will use the knowledge but not the title
REALM_SIZE_MULTIPLIER_DEC	Realm Size Multiplier: 	Realm Size Multiplier: 
DEMESNE_FRACTION_DESC	Head of Dynasty Demesne Multiplier: 	Head of Dynasty Demesne Multiplier: 
DEC_GAIN	Gain: 	Gain: 
DEC_GAINREDUCTION	Gain Reduction: 	Gain Reduction: 
DEC_MEMBER_CONTR	Monthly Decadence Gain: 	Monthly Decadence Gain: 
EVTNAME20043	[Root.Liege.GetLordSpiritualName] is Trampled by Mob	[Root.Liege.GetLordSpiritualName] is Trampled by Mob
EVTNAME20048	[Root.Liege.GetLordSpiritualName] Pockets Charity Money	[Root.Liege.GetLordSpiritualName] Pockets Charity Money
EVTNAME902	Heathens Attack the [Root.Liege.GetLordSpiritualName]	Heathens Attack the [Root.Liege.GetLordSpiritualName]
EVTOPTA8300	Deus Vult!	Deus Vult!
EVTOPTA8301	Masha'Allah!	Masha'Allah!
EVTDESC8300	Our armies now stand poised to take part in the [Root.Religion.GetCrusadeName] for the [Root.Location.Kingdom.GetFullBaseName].	Our armies now stand poised to take part in the [Root.Religion.GetCrusadeName] for the [Root.Location.Kingdom.GetFullBaseName].
#ca_culture_west_african_1	Small Free Warrior Lodge	Small Free Warrior Lodge
#ca_culture_west_african_2	Free Warrior Lodge	Free Warrior Lodge
#ca_culture_west_african_3	Large Free Warrior Lodge	Large Free Warrior Lodge
#ca_culture_west_african_4	Great Free Warrior Lodge	Great Free Warrior Lodge
ca_culture_west_african_1	Free Warrior Lodge	Free Warrior Lodge
ca_culture_west_african_2	Free Warrior Lodge	Free Warrior Lodge
ca_culture_west_african_3	Free Warrior Lodge	Free Warrior Lodge
ca_culture_west_african_4	Free Warrior Lodge	Free Warrior Lodge
CB_NAME_INVASION	Invasion of [Title.GetBaseName]	Invasion of [Title.GetBaseName]
WAR_NAME_INVASION	$ORDER$$FIRST_ADJ$ Invasion of $OTHER_TITLE$	$ORDER$$FIRST_ADJ$ Invasion of $OTHER_TITLE$
WAR_NAME_DEC_INVASION	$FIRST_ADJ$ Invasion of $SECOND$	$FIRST_ADJ$ Invasion of $SECOND$
GAIN_SETTLEMENT_UNDER_TITLE_EFFECT	Gain all Holdings owned by $GIVER$ in the $REGION$	Gain all Holdings owned by $GIVER$ in the $REGION$
VASSALIZE_OR_TAKE_UNDER_TITLE_EFFECT	Vassalize or take everything held by $GIVER$ in the $REGION$	Vassalize or take everything held by $GIVER$ in the $REGION$
OFFER_PEACE_INTERACTION_DEMAND	These are the terms of your surrender:	These are the terms of your surrender:
OFFER_PEACE_INTERACTION_WHITE	We propose a White Peace under these terms:	We propose a White Peace under these terms:
OFFER_PEACE_INTERACTION_SURRENDER	We surrender under these terms:	We surrender under these terms:
DYNA_FILTER	Filter	Filter
DYNA_F_ALL	All	All
DYNA_F_ONLYMEN	Only Men	Only Men
DYNA_F_ONLYMEN_TT	Filters away all childless women	Filters away all childless women
DYNA_F_ONLYLANDED	Only Landed	Only Landed
DYNA_F_ONLYLANDED_TT	Filters away all unlanded characters that have no children	Filters away all unlanded characters that have no children
DYNA_F_ONLYALIVE	Only Alive	Only Alive
DYNA_F_ONLYALIVE_TT	Filters away all dead characters that had no children	Filters away all dead characters that had no children
invasion_succ_tip	§Y[Root.GetTitledFirstName]§! takes all occupied territory.\n§Y[Root.GetTitledFirstName]§! becomes the new §Y[This.GetRulerTitle] of [This.GetBaseName]§!.\n	§Y[Root.GetTitledFirstName]§! takes all occupied territory.\n§Y[Root.GetTitledFirstName]§! becomes the new §Y[This.GetRulerTitle] of [This.GetBaseName]§!.\n
