#CODE	ENGLISH	ENGLISH
AIREASON_ALL_HELP_IS_APPRECIATED	All help is appreciated	All help is appreciated
RULER_JOINS_ENEMY_WAR_SETUP	A Ruler Joins a War against us	A Ruler Joins a War against us
RULER_JOINS_ENEMY_WAR_LOG	§Y$WHO$§! has joined §Y$ENEMY$§! in the §Y$WAR$§!	§Y$WHO$§! has joined §Y$ENEMY$§! in the §Y$WAR$§!
joined_my_war	Joined my War	Joined my War
#d_venetian_navy	Venetian Navy	Venetian Navy
#d_venetian_navy_adj	Venetian	Venetian
#d_genoese_navy	Genoese Navy	Genoese Navy
#d_genoese_navy_adj	Genoese	Genoese
#d_hanseatic_navy	Hanseatic Navy	Hanseatic Navy
#d_hanseatic_navy_adj	Hanseatic	Hanseatic
#d_frisian_navy	Frisian Navy	Frisian Navy
#d_frisian_navy_adj	Frisian	Frisian
d_maghreb_corsairs	Maghreb Navy	Maghreb Navy
d_maghreb_corsairs_adj	Maghreb	Maghreb
k_frisia	Frisia	Frisia
k_frisia_adj	Frisian	Frisian
#k_lotharingia	Lotharingia	Lotharingia
#k_lotharingia_adj	Lotharingian	Lotharingian
k_pomerania	Pomerania	Pomerania
k_pomerania_adj	Pomeranian	Pomeranian
k_bavaria	Bavaria	Bavaria
k_bavaria_adj	Bavarian	Bavarian
PLOT_TO_MURDER	Plot to Murder	Plot to Murder
INITIAL_PLOT_POWER	Initial Plot Power	Initial Plot Power
TITLE_RATING_LOWER_THAN	Held Title Rating less than 	Held Title Rating less than 
TITLE_RATING_AT_LEAST	Held Title Rating at least 	Held Title Rating at least 
LOADING_TIP_48	Nominating someone a Bishop will disqualify him from succession	Nominating someone a Bishop will disqualify him from succession
LOADING_TIP_50	Greedy and generally indulgent characters like gifts more	Greedy and generally indulgent characters like gifts more
AIREASON_EAGER_TO_MURDER	Amoral	Amoral
AIREASON_RELUCTANT_TO_MURDER	Moral Qualms	Moral Qualms
TITLE_CANNOT_USURP_SAME_REALM	Cannot usurp a title from anyone in the same Realm unless you have a Strong Claim	Cannot usurp a title from anyone in the same Realm unless you have a Strong Claim
REASONING	Reasoning	Reasoning
RulerDesignerDLC	Ruler Designer	Ruler Designer
