#CODE	ENGLISH	ENGLISH
IS_NOT_LOVER_OF	Is NOT a Lover of §Y$WHO$§!	Is NOT a Lover of §Y$WHO$§!
IS_LOVER_OF	Is a Lover of §Y$WHO$§!	Is a Lover of §Y$WHO$§!
HAS_LESS_SPOUSES_THAN	Has fewer spouses than 	Has fewer spouses than 
HAS_MORE_SPOUSES_THAN	Number of spouses at least 	Number of spouses at least 
HAS_LESS_CONSORTS_THAN	Has fewer consorts than 	Has fewer consorts than 
HAS_MORE_CONSORTS_THAN	Number of consorts at least 	Number of consorts at least 
HAS_LESS_LOVERS_THAN	Has fewer lovers than 	Has fewer lovers than 
HAS_MORE_LOVERS_THAN	Number of lovers at least 	Number of lovers at least 
ANY_LOVER_STARTS	Any Lover	Any Lover
AIREASON_AGE_DIFFERENCE	Difference in Age	Difference in Age
ANY_CLAIM_STARTS	Any Claim	Any Claim
IS_PACIFIST	Is a Pacifist 	Is a Pacifist 
IS_NOT_PACIFIST	Is NOT a Pacifist 	Is NOT a Pacifist 
EVTDESC_RoI_10003	My beloved [GetFromRelation] is showing every sign of being my reborn [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. Little [From.GetFirstName] often speaks of [From.GetPossPronoun] old friends and family, even naming many correctly.	My beloved [GetFromRelation] is showing every sign of being my reborn [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. Little [From.GetFirstName] often speaks of [From.GetPossPronoun] old friends and family, even naming many correctly.
conscript_merchant_ships	Conscript Merchant Ships	Conscript Merchant Ships
conscript_merchant_ships_desc	With holdings overseas, my realm has a quite a bit of merchant shipping that can be conscripted in times of war - for a tidy sum of gold, of course...	With holdings overseas, my realm has a quite a bit of merchant shipping that can be conscripted in times of war - for a tidy sum of gold, of course...
HAS_NO_OVERSEAS_HOLDINGS	Has NO overseas holdings	Has NO overseas holdings
HAS_OVERSEAS_HOLDINGS	Has overseas holdings	Has overseas holdings
OUT_OF_SUPPLIES	This unit has been out of supplies for	This unit has been out of supplies for
MATCHMAKING_SERVER_HOST_TITLE	Host Game Settings	Host Game Settings
SAMRAT_CHAKRAVARTIN	Samrat Chakravartin	Samrat Chakravartin
SAMRAJNI_CHAKRAVARTIN	Samrajni Chakravartin	Samrajni Chakravartin
CHARVIEW_RELATIONS	Relations	Relations
ADD_FRIEND_EFFECT	§Y$WHO$§W and §Y$OTHER$§W become close friends.\n	$WHO$ and §Y$OTHER$§W become close friends.\n
REMOVE_FRIEND_EFFECT	The friendship between §Y$WHO$§W and §Y$OTHER$§W ends.\n	The friendship between $WHO$ and §Y$OTHER$§W ends.\n
ADD_RIVAL_EFFECT	$WHO$ and §Y$OTHER$§W become bitter rivals.\n	$WHO$ and §Y$OTHER$§W become bitter rivals.\n
REMOVE_RIVAL_EFFECT	The rivalry between $WHO$ and §Y$OTHER$§W ends.\n	The rivalry between $WHO$ and §Y$OTHER$§W ends.\n
AIREASON_GLAD_TO_TAKE_HOSTAGE	Glad to Take Hostage	Glad to Take Hostage
convert_to_local_culture	Convert to Local Culture ([Root.Capital.Culture.GetName])	Convert to Local Culture ([Root.Capital.Culture.GetName])
convert_to_local_culture_desc	I catch myself thinking in the [Root.Capital.Culture.GetName] language all the time. I govern the [Root.Capital.Culture.GetName] people of [Root.Capital.GetName], but am I truly one of them?	I catch myself thinking in the [Root.Capital.Culture.GetName] language all the time. I govern the [Root.Capital.Culture.GetName] people of [Root.Capital.GetName], but am I truly one of them?
convert_to_local_religion	Convert to Local Religion ([Root.Capital.Religion.GetName])	Convert to Local Religion ([Root.Capital.Religion.GetName])
convert_to_local_religion_desc	The §Y[Root.Capital.Religion.GetName]§! people in §Y[Root.Capital.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert and embrace the glory of §Y[Root.Capital.Religion.GetRandomGodName]§!...	The §Y[Root.Capital.Religion.GetName]§! people in §Y[Root.Capital.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert and embrace the glory of §Y[Root.Capital.Religion.GetRandomGodName]§!...
e_india	India	India
EVTDESC_RoI_403	Ganges is the embodiment of all sacred waters in Hindu mythology and is personified in the goddess Ganga. As you live fairly close to this great river, your Upadhyaya suggests that you make a visit.	Ganges is the embodiment of all sacred waters in Hindu mythology and is personified in the goddess Ganga. As you live fairly close to this great river, your Upadhyaya suggests that you make a visit.
EVTOPTA_RoI_403	I will go.	I will go.
